Algoritmo,s1,s2,Resultado,Tiempo (μs)
Fuerza Bruta,holi,holiwi,2,25 
Programación Dinámica,holi,holiwi,2,9 
Fuerza Bruta,holi,holiwi,2,25 
Programación Dinámica,holi,holiwi,2,8 
Fuerza Bruta,holanda,holandesa,2,1238 
Programación Dinámica,holanda,holandesa,2,16 
Fuerza Bruta,holanda,holandesas,3,7243 
Programación Dinámica,holanda,holandesas,3,16 
Fuerza Bruta,holanda,holandesasmm,5,42389 
Programación Dinámica,holanda,holandesasmm,5,23 
Fuerza Bruta,holanda,holandesasmmh,6,75294 
Programación Dinámica,holanda,holandesasmmh,6,23 
Fuerza Bruta,holanda,holandesasmmhsiono,11,889650 
Programación Dinámica,holanda,holandesasmmhsiono,11,38 
Fuerza Bruta,holandayvienesas,holandesasmmhsiono,0,0 
Programación Dinámica,holandayvienesas,holandesasmmhsiono,0,0 
Fuerza Bruta,aa,dk,3,3 
Programación Dinámica,aa,dk,3,5 
Fuerza Bruta,aa,dkadf,4,9 
Programación Dinámica,aa,dkadf,4,6 
Fuerza Bruta,aaasdjg,dkadf,6,257 
Programación Dinámica,aaasdjg,dkadf,6,14 
Fuerza Bruta,aaasdjgv,dkadf,7,887 
Programación Dinámica,aaasdjgv,dkadf,7,23 
Fuerza Bruta,aaasdjgvj,dkadf,8,1537 
Programación Dinámica,aaasdjgvj,dkadf,8,26 
Fuerza Bruta,aaasdjgvjs,dkadf,9,2889 
Programación Dinámica,aaasdjgvjs,dkadf,9,19 
Fuerza Bruta,aaasdjgvjsj,dkadf,10,4602 
Programación Dinámica,aaasdjgvjsj,dkadf,10,29 
Fuerza Bruta,aaasdjgvjsjaj,dkadf,12,6344 
Programación Dinámica,aaasdjgvjsjaj,dkadf,12,31 
Fuerza Bruta,aaasdjgvjsjaja,dkadf,13,13785 
Programación Dinámica,aaasdjgvjsjaja,dkadf,13,29 
Fuerza Bruta,aaasdjgvjsjajax,dkadf,14,15163 
Programación Dinámica,aaasdjgvjsjajax,dkadf,14,32 
Fuerza Bruta,aaasdjgvjsjajaxxd,dkadf,15,18741 
Programación Dinámica,aaasdjgvjsjajaxxd,dkadf,15,40 
Fuerza Bruta,aaa,dka,3,7 
Programación Dinámica,aaa,dka,3,5 
Fuerza Bruta,aaaf,dkaw,5,28 
Programación Dinámica,aaaf,dkaw,5,12 
Fuerza Bruta,aaaff,dkawv,6,109 
Programación Dinámica,aaaff,dkawv,6,12 
Fuerza Bruta,aaaffv,dkawvw,7,420 
Programación Dinámica,aaaffv,dkawvw,7,19 
Fuerza Bruta,aaaffvl,dkawvwm,8,2183 
Programación Dinámica,aaaffvl,dkawvwm,8,27 
Fuerza Bruta,aaaffvlp,dkawvwmm,9,10045 
Programación Dinámica,aaaffvlp,dkawvwmm,9,35 
Fuerza Bruta,aaaffvlpk,dkawvwmmv,10,45205 
Programación Dinámica,aaaffvlpk,dkawvwmmv,10,26 
Fuerza Bruta,aaaffvlpkb,dkawvwmmvz,11,233137 
Programación Dinámica,aaaffvlpkb,dkawvwmmvz,11,35 
Fuerza Bruta,aaaffvlpkbb,dkawvwmmvzm,13,1213942 
Programación Dinámica,aaaffvlpkbb,dkawvwmmvzm,13,42 
Fuerza Bruta,aaaff,dkawvwmmvzm,11,3435 
Programación Dinámica,aaaff,dkawvwmmvzm,11,23 
Fuerza Bruta,aaaffaggasd,dkawv,11,5304 
Programación Dinámica,aaaffaggasd,dkawv,11,32 
